v1,v2,,,
ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,,,
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,,,
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!",,,
ham,But i'm surprised she still can guess right lor...,,,
ham,Okie ??_ wan meet at bishan? Cos me at bishan now. I'm not driving today.,,,
ham,Oh ho. Is this the first time u use these type of words,,,
ham,HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN,,,
ham,I know you are serving. I mean what are you doing now.,,,
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",,,
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,,,
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",,,
ham,I know girls always safe and selfish know i got it pa. Thank you. good night.,,,
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. ",,,
ham,I'm freezing and craving ice. Fml,,,
ham,Kay... Since we are out already ,,,
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,,,
ham,Yo im right by yo work,,,
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,,,
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
ham,I don wake since. I checked that stuff and saw that its true no available spaces. Pls call the embassy or send a mail to them.,,,
ham,Nope... Juz off from work...,,,
ham,Huh so fast... Dat means u havent finished painting?,,,
ham, what number do u live at? Is it 11?,,,
ham,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",,,
ham,Sac will score big hundred.he is set batsman:-),,,
ham,Send me yetty's number pls.,,,
ham,How much it will cost approx . Per month.,,,
ham,Ok... The theory test? when are ??_ going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free,,,
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",,,
ham,"That's fine, have him give me a call if he knows what he wants or has any questions",,,
ham,"Sorry, got a late start, we're on the way",,,
ham,Then u go back urself lor...,,,
ham,I AM AT THE GAS STATION. GO THERE.,,,
ham,"K, if u bored up just come to my home..",,,
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,,,
ham,"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",,,
ham,Still i have not checked it da. . .,,,
ham,You will go to walmart. I.ll stay.,,,
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",,,
ham,Oh great. I.ll disturb him more so that we can talk.,,,
ham,Reverse is cheating. That is not mathematics.,,,
ham,U're welcome... Caught u using broken english again...,,,
ham,No problem baby. Is this is a good time to talk? I called and left a message.,,,
ham,"Sorry, I'll call later",,,
ham,Oh is it! Which brand?,,,
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,,,
ham,At what time are you coming.,,,
ham,Call him and say you not coming today ok and tell them not to fool me like this ok,,,
ham,I emailed yifeng my part oredi.. Can ??_ get it fr him..,,,
ham,R u sure they'll understand that! Wine * good idea just had a slurp!,,,
ham,Minimum walk is 3miles a day.,,,
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,,,
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",,,
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,,,
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,,,
ham,Please attend the phone:),,,
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,,,
ham,No messages on her phone. I'm holding it now,,,
ham,Can... I'm free...,,,
ham,"Yo my trip got postponed, you still stocked up?",,,
ham,"Sorry, I'll call later",,,
ham,I am waiting for your call sir.,,,
ham,Hey what are you doing. Y no reply pa..,,,
ham,"Hey elaine, is today's meeting still on?",,,
ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,,,
ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.,,,
ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,,,
ham,And now electricity just went out fml.,,,
ham,"Looks like you found something to do other than smoke, great job!",,,
ham,Also andros ice etc etc,,,
ham,:) ,,,
ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",,,
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?,,,
ham,Hows that watch resizing,,,
ham,Dear umma she called me now :-),,,
ham,Just finished. Missing you plenty,,,
spam,"complimentary 4 STAR Ibiza Holiday or ?ù?ú10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",,,
ham,"Well, I meant as opposed to my drunken night of before",,,
ham,K... Must book a not huh? so going for yoga basic on sunday?,,,
spam,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,,,
ham,Ok can...,,,
ham,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",,,
ham,So u workin overtime nigpun?,,,
ham,Same as kallis dismissial in 2nd test:-).,,,
ham,O. Guess they both got screwd,,,
spam,Please CALL 08712402972 immediately as there is an urgent message waiting for you,,,
ham,"I'm in a meeting, call me later at",,,
ham,What r u cooking me for dinner?,,,
ham,Ok thanx...,,,
ham,Bull. Your plan was to go floating off to IKEA with me without a care in the world. So i have to live with your mess another day.,,,
ham,Then i buy.,,,
spam,URGENT! Your Mobile number has been awarded with a ?ù?ú2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,,,
ham,Heehee that was so funny tho,,,
ham,It only does simple arithmetic not percentages.,,,
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ?ù?ú1500 Bonus Prize, call 09066364589",,,
ham,Thanks honey. Have a great day.,,,
ham,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\""""",,,
ham,Good night my dear.. Sleepwell&amp;Take care,,,
ham,Then ??_ ask dad to pick ??_ up lar... ???è wan 2 stay until 6 meh...,,,
ham,"Jus chillaxin, what up",,,
ham,"\HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.\""""",,,
ham,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",,,
spam,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,,,
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",,,
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,,,
ham,Only once then after ill obey all yours.,,,
ham,No she didnt. I will search online and let you know.,,,
ham,Where do you need to go to get it?,,,
ham,No pic. Please re-send.,,,
ham,He remains a bro amongst bros,,,
ham,Uhhhhrmm isnt having tb test bad when youre sick,,,
ham,But i haf enuff space got like 4 mb...,,,
spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,,,
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a ?ù?ú1500 Bonus Prize, call 09066368470",,,
spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,,,
spam,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,,,
spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save ?ù?ús with Free texts/weekend calls. Text YES for a callback orno to opt out,,,
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls?ù?ú1/minMobsmore LKPOBOX177HP51FL,,,
ham,True. Its easier with her here.,,,
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story,,,
ham,Haha okay... Today weekend leh... ,,,
ham,"\Hi darlin did youPhone me? Im atHome if youwanna chat.\""""",,,
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,,,
ham,You've always been the brainy one.,,,
ham,Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
ham,"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",,,
ham,Sending you greetings of joy and happiness. Do have a gr8 evening,,,
ham,"\Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx\""""",,,
ham,If india win or level series means this is record:),,,
ham,Then what about further plan?,,,
ham,Its good to hear from you,,,
ham,"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",,,
ham,What time you thinkin of goin?,,,
spam,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,,,
spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,,,
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,,,
ham,Yes but I don't care cause I know its there!,,,
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",,,
ham,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",,,
ham,Sitting ard nothing to do lor. U leh busy w work?,,,
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.,,,
ham,Sorry. || mail? || ,,,
ham,Ya just telling abt tht incident..,,,
ham,Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,,,
ham,Ugh just got outta class,,,
ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",,,
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,,,
ham,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,,,
ham,Ok. I.ll do you right later.,,,
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,,,
ham,Have your lunch and come quickly and open the door:),,,
spam,Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,,,
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,,,
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",,,
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,,,
ham,My phone,,,
ham,"Haha figures, well I found the piece and priscilla's bowl",,,
ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",,,
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a ?ù?ú800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,,,
ham,yay! finally lol. i missed our cinema trip last week :-(,,,
ham,All day working day:)except saturday and sunday..,,,
ham,aathi..where are you dear..,,,
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
ham,"I think IÉ?¯???˙m waiting for the same bus! Inform me when you get there, if you ever get there.",,,
ham,You getting back any time soon?,,,
ham,", how's things? Just a quick question.",,,
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",,,
ham,"I can probably come by, everybody's done around  &lt;#&gt;  right?",,,
ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,,,
ham,I can ask around but there's not a lot in terms of mids up here,,,
ham,Be sure to check your yahoo email. We sent photos yesterday,,,
ham,What was she looking for?,,,
ham,Wherre's my boytoy ? :-(,,,
spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,,,
ham,"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",,,
ham,Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,,,
ham,No:-)i got rumour that you going to buy apartment in chennai:-),,,
ham,"Yeah, probably earlier than that",,,
ham,Change windows logoff sound..,,,
ham,Still i have not checked it da. . .,,,
ham,"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \""""",,,
spam,A ?ù?ú400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a ?ù?ú400 reward. Just call 09066380611 ,,,
ham,Where r e meeting tmr?,,,
ham,Lol yes. But it will add some spice to your day.,,,
ham,Hope you are having a great day.,,,
ham,Our Prasanth ettans mother passed away last night. Just pray for her and family.,,,
ham,"K, I'll work something out",,,
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,,,
ham,This message is from a great Doctor in India:-): 1) Do not drink APPY FIZZ. It contains Cancer causing age,,,
ham,I cant pick the phone right now. Pls send a message,,,
ham,You call him and tell now infront of them. Call him now.,,,
ham,Ok no prob...,,,
ham,Ladies first and genus second k .,,,
ham,No. Yes please. Been swimming?,,,
ham,Mum not going robinson already.,,,
ham,Ok set let u noe e details later...,,,
ham,Not..tel software name..,,,
ham,I send the print  outs da.,,,
ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,,,
ham,"When I was born, GOD said, \Oh No! Another IDIOT\"". When you were born", GOD said," \""OH No! COMPETITION\"". Who knew"," one day these two will become FREINDS FOREVER!"""
ham,"I didnt get ur full msg..sometext is missing, send it again",,,
ham,"Probably not, I'm almost out of gas and I get some cash tomorrow",,,
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",,,
ham,I forgot 2 ask ??_ all smth.. There's a card on da present lei... How? ???è all want 2 write smth or sign on it?,,,
ham,I'm leaving my house now.,,,
spam,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",,,
ham,???è ready then call me...,,,
ham,Wewa is 130. Iriver 255. All 128 mb.,,,
ham,It is a good thing I'm now getting the connection to bw,,,
ham,Sry da..jst nw only i came to home..,,,
ham,"That's cool he'll be here all night, lemme know when you're around",,,
ham,Are you staying in town ?,,,
ham,"Haha yeah, 2 oz is kind of a shitload",,,
ham,Ok u can take me shopping when u get paid =D,,,
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",,,
ham,But pls dont play in others life.,,,
ham,Eatin my lunch...,,,
ham,Hmmm.but you should give it on one day..,,,
ham,"Didn't try, g and I decided not to head out",,,
ham,Ok no prob,,,
ham,Surly ill give it to you:-) while coming to review.,,,
ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",,,
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,,,
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,,,
spam,"URGENT! Your Mobile No 07808726822 was awarded a ?ù?ú2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",,,
ham,A guy who gets used but is too dumb to realize it.,,,
ham,"Okey dokey, iÉ?¯???˙ll be over in a bit just sorting some stuff out.",,,
ham,Don no da:)whats you plan?,,,
ham,Yes fine ,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,I liked the new mobile,,,
ham,Anytime...,,,
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,,,
ham,Yar but they say got some error.,,,
ham,Hey anyway i have to :-),,,
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,,,
ham,Wif my family booking tour package.,,,
ham,"Did you say bold, then torch later. Or one torch and 2bold?",,,
ham,"Haha awesome, I might need to take you up on that, what you doin tonight?",,,
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),,,
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,,,
ham,Thats cool princess! I will cover your face in hot sticky cum :),,,
ham,Big brotherÉ?¯???˙s really scraped the barrel with this shower of social misfits,,,
ham,Oops i thk i dun haf enuff... I go check then tell ??_..,,,
ham,S:)8 min to go for lunch:),,,
ham,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",,,
ham,"K will do, addie &amp; I are doing some art so I'll be here when you get home",,,
ham,My uncles in Atlanta. Wish you guys a great semester.,,,
ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",,,
ham,Forgot to tell ??_ smth.. Can ??_ like number the sections so that it's clearer..,,,
ham,"Yup. Anything lor, if u dun wan it's ok...",,,
ham,"I'm home, my love ... If your still awake ... *loving kiss*",,,
ham,HELLO PEACH! MY CAKE TASTS LUSH!,,,
spam,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",,,
ham,"There'll be a minor shindig at my place later tonight, you interested?",,,
ham,Jason says it's cool if we pick some up from his place in like an hour,,,
spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",,,
ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,,,
ham,I've reached already.,,,
ham,I dont know ask to my brother. Nothing problem some thing that. Just i told .,,,
ham,K:)eng rocking in ashes:),,,
ham,Wat time r ??_ going to xin's hostel?,,,
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,,,
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,,,
ham,Oh k:)after that placement there ah?,,,
ham,"Not for possession, especially not first offense",,,
ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",,,
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,,,
ham,We have pizza if u want,,,
ham,"I keep seeing weird shit and bein all \woah\"" then realising it's actually reasonable and I'm all \""oh\""""",,,
ham,Many more happy returns of the day. I wish you happy birthday.,,,
ham,Ya very nice. . .be ready on thursday,,,
ham,I am in hospital da. . I will return home in evening,,,
ham,"\Thinking of u ;) x\""""",,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
ham,Orh i tot u say she now still dun believe.,,,
ham,"When you just put in the + sign, choose my number and the pin will show. Right?",,,
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,,,
ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,,,
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",,,
spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,,,
ham,Well boy am I glad G wasted all night at applebees for nothing,,,
spam,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,,,
ham,Ok lor... Or u wan me go look 4 u?,,,
ham,U wan 2 haf lunch i'm in da canteen now.,,,
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,,,
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",,,
spam,URGENT! Your Mobile number has been awarded with a ?ù?ú2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 ?ù?ú100 cash. Name the NEW US President? txt ans to 80082,,,
ham,I'm home. Doc gave me pain meds says everything is fine.,,,
ham,It's ???? only $140 ard...???? rest all ard $180 at least...Which is ???? price 4 ???? 2 bedrm ($900),,,
ham,Me too! Have a lovely night xxx,,,
ham,Prepare to be pleasured :),,,
ham,Hi.:)technical support.providing assistance to us customer through call and email:),,,
ham,if you text on your way to cup stop that should work. And that should be BUS,,,
ham,Whens your radio show?,,,
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,,,
ham,I'm not sure if its still available though,,,
ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,,,
ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,,,
ham,Hi..i got the money da:),,,
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",,,
ham,Ok then u tell me wat time u coming later lor.,,,
ham,U repeat e instructions again. Wat's e road name of ur house?,,,
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",,,
ham,Quite lor. But dun tell him wait he get complacent...,,,
ham,Sorry completely forgot * will pop em round this week if your still here?,,,
ham,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,,,
ham,O we cant see if we can join denis and mina? Or does denis want alone time,,,
ham,Sen told that he is going to join his uncle finance in cbe,,,
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,,,
ham,"Call me, i am senthil from hsbc.",,,
ham,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",,,
ham,Indeed and by the way it was either or - not both !,,,
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or ?ù?ú10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",,,
ham,Holy living christ what is taking you so long,,,
ham,???è thk of wat to eat tonight.,,,
ham,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",,,
ham,We're on the opposite side from where we dropped you off,,,
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,,,
ham,Send me your resume:-),,,
ham,Gd luck 4 ur exams :-),,,
ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,,,
ham,Sorry that was my uncle. I.ll keep in touch,,,
ham,Saw Guys and Dolls last night with Patrick Swayze it was great,,,
spam,URGENT This is our 2nd attempt to contact U. Your ?ù?ú900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,,,
spam,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,,,
ham,Just come home. I don't want u to be miserable,,,
ham,I dont know why she.s not getting your messages,,,
ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",,,
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",,,
ham,Reverse is cheating. That is not mathematics.,,,
ham,How do you plan to manage that,,,
ham,"Er, hello, things didnÉ?¯???˙t quite go to plan É?¯???? is limping slowly home followed by aa and with exhaust hanging off",,,
ham,Sorry for the delay. Yes masters,,,
ham,Call me when u finish then i come n pick u.,,,
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,,,
ham,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,,,
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",,,
ham,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",,,
ham,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,,,
ham,"fyi I'm at usf now, swing by the room whenever",,,
ham,i can call in  &lt;#&gt;  min if thats ok,,,
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,,,
ham,???è no home work to do meh... ,,,
ham,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,,,
ham,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,,,
ham,How's ur paper?,,,
ham,Got smaller capacity one? Quite ex...,,,
spam,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,,,
ham,Im good! I have been thinking about you...,,,
spam,u r a winner U ave been specially selected 2 receive ?ù?ú1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),,,
ham,:-) :-),,,
ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,,,
ham,I am going to sleep. I am tired of travel.,,,
ham,"Haha, just what I was thinkin",,,
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...,,,
ham,Lol no. Just trying to make your day a little more interesting,,,
ham,"How long before you get reply, just defer admission til next semester",,,
ham,"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)""",,,
